Entidad,banda ancha,servicios de salud,Vivservicios basicos,red social,educacion,Desercion,Satisfaccion ocio,trab muchas horas,ingreso disponible,Ingreso equivalente,pobreza extrema,Contaminacion,residuos,Participacion civica,Participacion electoral,Confianza la ley,ausencia corrupcion,Esperanzavida,Salud,obesidad,mortalidad materna,mortalidad infantil,Satisfaccionvida,homicidios,Confianzapolicia,inseguridad,delictiva,condiciones ocupacion,informalidad laboral,desempleo,ocupacion,Habitpersona,viviendastechos
Aguascalientes,37.92,87.5,97.94,78.05,42.4,12.1,7.3,34.24,0.486,"7,642",2.1,9.1,100,8.41,60.7,5.6,37.8,75.85,8,31,25.7,9.4,7.7,3.9,66.3,35.1,"39,453",8.4,45.46,5.83,56.59,1,94.9
BajaCNorte,51.46,80.6,89.73,84.68,42.5,19.3,8,27.54,0.434,"8,682",3.1,6.8,95.65,4.07,53.8,4.05,26.4,74.01,8.5,39.5,42.3,14.3,8.3,22.8,53.5,41.5,"56,632",6.4,39.55,5.65,59.07,1.1,49.5
BajaSur,43.85,85.8,89.95,84.99,46.4,11.7,8,24.77,0.454,"8,279",3.9,6.1,80.51,2.98,58.8,5.44,34.3,76.04,8.4,43.6,32.1,11.2,8.3,6.8,48.9,38.4,"34,700",7.1,41.05,4.94,64.04,1,74.8
Campeche,27.1,87.5,84.08,73.5,40.2,15,7.6,29.14,0.5,"7,361",11.1,4.2,44.86,11.15,67.3,8.12,31.1,75.25,7.9,43.3,65.4,14.7,7.8,8.1,47.2,36.2,"29,306",14.7,60.86,3.21,59.91,0.8,52.7
Coahuila,34.56,84.4,95.61,81.36,44.5,19.1,7.8,24.17,0.503,"8,069",3.7,8.4,72.02,6.49,61.9,7.62,47.4,75.72,8.2,37.1,27,11.9,8,27.6,54.7,33.9,"18,318",7.3,36.81,5.25,58.89,1.1,77.8
Colima,45.16,87.3,98.38,79.62,41.7,10.8,7.6,26.37,0.457,"7,703",3.4,9.4,51.05,12.97,64.3,8.76,36.4,75.91,8.1,36.7,22.5,10.8,7.8,32.5,60,32.8,"30,535",7.6,54.26,4.41,64.18,1,70.8
Chiapas,9.47,79.3,70.69,77.76,26.9,17.2,7.9,25.71,0.517,"3,683",31.8,6.9,28.98,10.77,67.3,13.96,32.8,72.81,8.1,25.6,54.8,13.6,7.9,9.6,49.1,32,"19,160",31.5,78.99,3.35,52.41,0.7,29.8
Chihuahua,42.89,85.4,93.22,80.12,38.1,17.2,8.3,19.72,0.458,"6,576",5.4,6.2,82.78,3.2,53.2,5.09,32.7,72.94,8.4,32.8,59.8,15,8.3,58.8,43.4,28.1,"24,295",4.9,38.36,3.18,56.73,1.1,56.3
CiudaddeMéxico,53.02,80.1,98.86,69.78,57.6,12.1,8,29.99,0.507,"10,922",1.7,15.1,100,3.25,67.2,0.91,13.6,76.09,8.5,34,41.9,12.8,8.4,12.5,30.8,48.5,"59,545",10.3,50.01,6.84,58.08,1.2,90.6
Durango,30.32,83.5,90.26,78.48,37,18.1,8,24.82,0.446,"5,707",5.3,8.1,78.56,5.47,59.8,6.75,40.7,75.63,8.4,34.4,41.2,13.4,8.2,27.5,50.3,33,"30,080",11.8,55.79,6.01,54.07,1,68
